section_no,section_slug,day_order,platform,problem_id,title,url,cf_rating,atcoder_difficulty,qorithm_tier,tags,reason,is_checkpoint,reuse_note
1,"cpp-core-foundations",23,"codeforces","2009:C","The Legend of Freya the Frog","https://codeforces.com/problemset/problem/2009/C",1100,,"T2","[""implementation"",""math""]","Progressive c++ core foundations practice at day 23.",false,""
1,"cpp-core-foundations",24,"codeforces","1821:C","Tear It Apart","https://codeforces.com/problemset/problem/1821/C",1300,,"T2","[""brute force"",""implementation"",""math""]","Progressive c++ core foundations practice at day 24.",false,""
1,"cpp-core-foundations",25,"codeforces","2048:C","Kevin and Binary Strings","https://codeforces.com/problemset/problem/2048/C",1200,,"T2","[""bitmasks"",""brute force"",""greedy""]","Progressive c++ core foundations practice at day 25.",false,""
1,"cpp-core-foundations",26,"atcoder","abc164:abc164_d","D. Multiple of 2019","https://atcoder.jp/contests/abc164/tasks/abc164_d",,1232,"T2","[""atcoder""]","Progressive c++ core foundations practice at day 26.",false,""
1,"cpp-core-foundations",27,"codeforces","697:B","Barnicle","https://codeforces.com/problemset/problem/697/B",1400,,"T3","[""brute force"",""implementation"",""math""]","Progressive c++ core foundations practice at day 27.",true,""
1,"cpp-core-foundations",28,"codeforces","182:D","Common Divisors","https://codeforces.com/problemset/problem/182/D",1400,,"T3","[""brute force"",""hashing"",""implementation""]","Progressive c++ core foundations practice at day 28.",false,""
1,"cpp-core-foundations",29,"codeforces","2157:C","Meximum Array 2","https://codeforces.com/problemset/problem/2157/C",1400,,"T3","[""constructive algorithms"",""greedy"",""implementation""]","Progressive c++ core foundations practice at day 29.",false,""
1,"cpp-core-foundations",30,"atcoder","abc378:abc378_e","E. Mod Sigma Problem","https://atcoder.jp/contests/abc378/tasks/abc378_e",,1406,"T3","[""atcoder""]","Progressive c++ core foundations practice at day 30.",false,""
1,"cpp-core-foundations",31,"codeforces","2169:D1","Removal of a Sequence (Easy Version)","https://codeforces.com/problemset/problem/2169/D1",1500,,"T3","[""binary search"",""implementation"",""math""]","Progressive c++ core foundations practice at day 31.",true,""
2,"stl-in-practice",1,"codeforces","1760:C","Advantage","https://codeforces.com/problemset/problem/1760/C",800,,"T1","[""data structures"",""implementation"",""sortings""]","Progressive stl in practice practice at day 1.",false,""
2,"stl-in-practice",2,"codeforces","1918:B","Minimize Inversions","https://codeforces.com/problemset/problem/1918/B",900,,"T1","[""constructive algorithms"",""data structures"",""greedy""]","Progressive stl in practice practice at day 2.",false,""
2,"stl-in-practice",3,"codeforces","1862:C","Flower City Fence","https://codeforces.com/problemset/problem/1862/C",1100,,"T2","[""binary search"",""data structures"",""implementation""]","Progressive stl in practice practice at day 3.",false,""
2,"stl-in-practice",4,"codeforces","1955:B","Progressive Square","https://codeforces.com/problemset/problem/1955/B",1000,,"T1","[""constructive algorithms"",""data structures"",""implementation""]","Progressive stl in practice practice at day 4.",false,""
2,"stl-in-practice",5,"atcoder","abc372:abc372_d","D. Buildings","https://atcoder.jp/contests/abc372/tasks/abc372_d",,901,"T1","[""atcoder""]","Progressive stl in practice practice at day 5.",false,""
2,"stl-in-practice",6,"codeforces","1848:B","Vika and the Bridge","https://codeforces.com/problemset/problem/1848/B",1200,,"T2","[""binary search"",""data structures"",""greedy""]","Progressive stl in practice practice at day 6.",false,""
2,"stl-in-practice",7,"codeforces","1763:B","Incinerate","https://codeforces.com/problemset/problem/1763/B",1200,,"T2","[""binary search"",""brute force"",""data structures""]","Progressive stl in practice practice at day 7.",false,""
2,"stl-in-practice",8,"codeforces","1807:G1","Subsequence Addition (Easy Version)","https://codeforces.com/problemset/problem/1807/G1",1100,,"T2","[""brute force"",""data structures"",""dp""]","Progressive stl in practice practice at day 8.",false,""
2,"stl-in-practice",9,"atcoder","abc296:abc296_d","D. M<=ab","https://atcoder.jp/contests/abc296/tasks/abc296_d",,999,"T1","[""atcoder""]","Progressive stl in practice practice at day 9.",false,""
2,"stl-in-practice",10,"codeforces","1335:C","Two Teams Composing","https://codeforces.com/problemset/problem/1335/C",1100,,"T2","[""binary search"",""greedy"",""implementation""]","Progressive stl in practice practice at day 10.",false,""
2,"stl-in-practice",11,"codeforces","1324:C","Frog Jumps","https://codeforces.com/problemset/problem/1324/C",1100,,"T2","[""binary search"",""data structures"",""dfs and similar""]","Progressive stl in practice practice at day 11.",false,""
2,"stl-in-practice",12,"codeforces","755:B","PolandBall and Game","https://codeforces.com/problemset/problem/755/B",1100,,"T2","[""binary search"",""data structures"",""games""]","Progressive stl in practice practice at day 12.",false,""
2,"stl-in-practice",13,"codeforces","519:B","A and B and Compilation Errors","https://codeforces.com/problemset/problem/519/B",1100,,"T2","[""data structures"",""implementation"",""sortings""]","Progressive stl in practice practice at day 13.",false,""
2,"stl-in-practice",14,"atcoder","abc166:abc166_e","E. This Message Will Self-Destruct in 5s","https://atcoder.jp/contests/abc166/tasks/abc166_e",,1062,"T2","[""atcoder""]","Progressive stl in practice practice at day 14.",false,""
2,"stl-in-practice",15,"codeforces","166:A","Rank List","https://codeforces.com/problemset/problem/166/A",1100,,"T2","[""binary search"",""implementation"",""sortings""]","Progressive stl in practice practice at day 15.",false,""
2,"stl-in-practice",16,"codeforces","637:B","Chat Order","https://codeforces.com/problemset/problem/637/B",1200,,"T2","[""*special"",""binary search"",""constructive algorithms""]","Progressive stl in practice practice at day 16.",false,""
2,"stl-in-practice",17,"codeforces","492:B","Vanya and Lanterns","https://codeforces.com/problemset/problem/492/B",1200,,"T2","[""binary search"",""implementation"",""math""]","Progressive stl in practice practice at day 17.",false,""
2,"stl-in-practice",18,"atcoder","abc410:abc410_e","E. Battles in a Row","https://atcoder.jp/contests/abc410/tasks/abc410_e",,1077,"T2","[""atcoder""]","Progressive stl in practice practice at day 18.",false,""
2,"stl-in-practice",19,"codeforces","424:B","Megacity","https://codeforces.com/problemset/problem/424/B",1200,,"T2","[""binary search"",""greedy"",""implementation""]","Progressive stl in practice practice at day 19.",false,""
2,"stl-in-practice",20,"codeforces","2197:B","Array and Permutation","https://codeforces.com/problemset/problem/2197/B",1100,,"T2","[""implementation"",""schedules"",""sortings""]","Progressive stl in practice practice at day 20.",false,""
2,"stl-in-practice",21,"codeforces","2193:D","Monster Game","https://codeforces.com/problemset/problem/2193/D",1100,,"T2","[""binary search"",""sortings"",""two pointers""]","Progressive stl in practice practice at day 21.",false,""
2,"stl-in-practice",22,"atcoder","abc182:abc182_e","E. Akari","https://atcoder.jp/contests/abc182/tasks/abc182_e",,1098,"T2","[""atcoder""]","Progressive stl in practice practice at day 22.",false,""
2,"stl-in-practice",23,"codeforces","2063:B","Subsequence Update","https://codeforces.com/problemset/problem/2063/B",1100,,"T2","[""constructive algorithms"",""data structures"",""greedy""]","Progressive stl in practice practice at day 23.",false,""
2,"stl-in-practice",24,"codeforces","1284:B","New Year and Ascent Sequence","https://codeforces.com/problemset/problem/1284/B",1400,,"T3","[""binary search"",""combinatorics"",""data structures""]","Progressive stl in practice practice at day 24.",false,""
2,"stl-in-practice",25,"codeforces","2025:C","New Game","https://codeforces.com/problemset/problem/2025/C",1300,,"T2","[""binary search"",""brute force"",""greedy""]","Progressive stl in practice practice at day 25.",false,""
2,"stl-in-practice",26,"atcoder","abc380:abc380_e","E. 1D Bucket Tool","https://atcoder.jp/contests/abc380/tasks/abc380_e",,1230,"T2","[""atcoder""]","Progressive stl in practice practice at day 26.",false,""
2,"stl-in-practice",27,"codeforces","1870:C","Colorful Table","https://codeforces.com/problemset/problem/1870/C",1300,,"T2","[""binary search"",""data structures"",""dp""]","Progressive stl in practice practice at day 27.",true,""
2,"stl-in-practice",28,"codeforces","1703:F","Yet Another Problem About Pairs Satisfying an Inequality","https://codeforces.com/problemset/problem/1703/F",1300,,"T2","[""binary search"",""data structures"",""dp""]","Progressive stl in practice practice at day 28.",false,""
2,"stl-in-practice",29,"codeforces","2171:D","Rae Taylor and Trees (easy version)","https://codeforces.com/problemset/problem/2171/D",1400,,"T3","[""binary search"",""data structures"",""dp""]","Progressive stl in practice practice at day 29.",false,""
2,"stl-in-practice",30,"atcoder","abc385:abc385_e","E. Snowflake Tree","https://atcoder.jp/contests/abc385/tasks/abc385_e",,1406,"T3","[""atcoder""]","Progressive stl in practice practice at day 30.",false,""
2,"stl-in-practice",31,"codeforces","1461:D","Divide and Summarize","https://codeforces.com/problemset/problem/1461/D",1600,,"T3","[""binary search"",""brute force"",""data structures""]","Progressive stl in practice practice at day 31.",true,""
3,"math-essentials-for-cp",1,"codeforces","1658:B","Marin and Anti-coprime Permutation","https://codeforces.com/problemset/problem/1658/B",800,,"T1","[""combinatorics"",""math"",""number theory""]","Progressive math essentials for cp practice at day 1.",false,""
3,"math-essentials-for-cp",2,"codeforces","1581:A","CQXYM Count Permutations","https://codeforces.com/problemset/problem/1581/A",800,,"T1","[""combinatorics"",""math"",""number theory""]","Progressive math essentials for cp practice at day 2.",false,""
3,"math-essentials-for-cp",3,"codeforces","1855:B","Longest Divisors Interval","https://codeforces.com/problemset/problem/1855/B",900,,"T1","[""brute force"",""combinatorics"",""greedy""]","Progressive math essentials for cp practice at day 3.",false,""
3,"math-essentials-for-cp",4,"codeforces","1732:A","Bestie","https://codeforces.com/problemset/problem/1732/A",1000,,"T1","[""brute force"",""combinatorics"",""constructive algorithms""]","Progressive math essentials for cp practice at day 4.",false,""
3,"math-essentials-for-cp",5,"atcoder","abc174:abc174_c","C. Repsept","https://atcoder.jp/contests/abc174/tasks/abc174_c",,902,"T1","[""atcoder""]","Progressive math essentials for cp practice at day 5.",false,""
3,"math-essentials-for-cp",6,"codeforces","2140:B","Another Divisibility Problem","https://codeforces.com/problemset/problem/2140/B",900,,"T1","[""constructive algorithms"",""math"",""number theory""]","Progressive math essentials for cp practice at day 6.",false,""
3,"math-essentials-for-cp",7,"codeforces","2125:C","Count Good Numbers","https://codeforces.com/problemset/problem/2125/C",1100,,"T2","[""bitmasks"",""combinatorics"",""math""]","Progressive math essentials for cp practice at day 7.",false,""
3,"math-essentials-for-cp",8,"codeforces","2204:C","Spring","https://codeforces.com/problemset/problem/2204/C",1000,,"T1","[""math"",""number theory""]","Progressive math essentials for cp practice at day 8.",false,""
3,"math-essentials-for-cp",9,"atcoder","abc384:abc384_e","E. Takahashi is Slime 2","https://atcoder.jp/contests/abc384/tasks/abc384_e",,1002,"T2","[""atcoder""]","Progressive math essentials for cp practice at day 9.",false,""
3,"math-essentials-for-cp",10,"codeforces","2164:B","Even Modulo Pair","https://codeforces.com/problemset/problem/2164/B",1000,,"T1","[""brute force"",""math"",""number theory""]","Progressive math essentials for cp practice at day 10.",false,""
3,"math-essentials-for-cp",11,"codeforces","2218:D","The 67th OEIS Problem","https://codeforces.com/problemset/problem/2218/D",1100,,"T2","[""constructive algorithms"",""greedy"",""math""]","Progressive math essentials for cp practice at day 11.",false,""
3,"math-essentials-for-cp",12,"codeforces","2131:C","Make it Equal","https://codeforces.com/problemset/problem/2131/C",1100,,"T2","[""math"",""number theory""]","Progressive math essentials for cp practice at day 12.",false,""
3,"math-essentials-for-cp",13,"codeforces","2084:B","MIN = GCD","https://codeforces.com/problemset/problem/2084/B",1100,,"T2","[""greedy"",""math"",""number theory""]","Progressive math essentials for cp practice at day 13.",false,""
3,"math-essentials-for-cp",14,"atcoder","abc276:abc276_e","E. Round Trip","https://atcoder.jp/contests/abc276/tasks/abc276_e",,1058,"T2","[""atcoder""]","Progressive math essentials for cp practice at day 14.",false,""
3,"math-essentials-for-cp",15,"codeforces","2043:B","Digits","https://codeforces.com/problemset/problem/2043/B",1100,,"T2","[""math"",""number theory""]","Progressive math essentials for cp practice at day 15.",false,""
3,"math-essentials-for-cp",16,"codeforces","2025:B","Binomial Coefficients, Kind Of","https://codeforces.com/problemset/problem/2025/B",1100,,"T2","[""combinatorics"",""dp"",""math""]","Progressive math essentials for cp practice at day 16.",false,""
3,"math-essentials-for-cp",17,"codeforces","1933:C","Turtle Fingers: Count the Values of k","https://codeforces.com/problemset/problem/1933/C",1100,,"T2","[""brute force"",""implementation"",""math""]","Progressive math essentials for cp practice at day 17.",false,""
3,"math-essentials-for-cp",18,"atcoder","abc216:abc216_e","E. Amusement Park","https://atcoder.jp/contests/abc216/tasks/abc216_e",,1084,"T2","[""atcoder""]","Progressive math essentials for cp practice at day 18.",false,""
3,"math-essentials-for-cp",19,"codeforces","1872:C","Non-coprime Split","https://codeforces.com/problemset/problem/1872/C",1100,,"T2","[""math"",""number theory""]","Progressive math essentials for cp practice at day 19.",false,""
3,"math-essentials-for-cp",20,"codeforces","1840:B","Binary Cafe","https://codeforces.com/problemset/problem/1840/B",1100,,"T2","[""bitmasks"",""combinatorics"",""math""]","Progressive math essentials for cp practice at day 20.",false,""
3,"math-essentials-for-cp",21,"codeforces","1827:A","Counting Orders","https://codeforces.com/problemset/problem/1827/A",1100,,"T2","[""combinatorics"",""math"",""sortings""]","Progressive math essentials for cp practice at day 21.",false,""
3,"math-essentials-for-cp",22,"atcoder","abc365:abc365_e","E. Xor Sigma Problem","https://atcoder.jp/contests/abc365/tasks/abc365_e",,1102,"T2","[""atcoder""]","Progressive math essentials for cp practice at day 22.",false,""
3,"math-essentials-for-cp",23,"codeforces","1826:B","Lunatic Never Content","https://codeforces.com/problemset/problem/1826/B",1100,,"T2","[""math"",""number theory""]","Progressive math essentials for cp practice at day 23.",false,""
3,"math-essentials-for-cp",24,"codeforces","1931:D","Divisible Pairs","https://codeforces.com/problemset/problem/1931/D",1300,,"T2","[""combinatorics"",""math"",""number theory""]","Progressive math essentials for cp practice at day 24.",false,""
3,"math-essentials-for-cp",25,"codeforces","840:A","Leha and Function","https://codeforces.com/problemset/problem/840/A",1300,,"T2","[""combinatorics"",""greedy"",""math""]","Progressive math essentials for cp practice at day 25.",false,""
3,"math-essentials-for-cp",26,"atcoder","abc417:abc417_d","D. Takahashi's Expectation","https://atcoder.jp/contests/abc417/tasks/abc417_d",,1230,"T2","[""atcoder""]","Progressive math essentials for cp practice at day 26.",false,""
3,"math-essentials-for-cp",27,"codeforces","2008:F","Sakurako's Box","https://codeforces.com/problemset/problem/2008/F",1400,,"T3","[""combinatorics"",""math"",""number theory""]","Progressive math essentials for cp practice at day 27.",true,""
3,"math-essentials-for-cp",28,"codeforces","1866:B","Battling with Numbers","https://codeforces.com/problemset/problem/1866/B",1400,,"T3","[""combinatorics"",""math"",""number theory""]","Progressive math essentials for cp practice at day 28.",false,""
3,"math-essentials-for-cp",29,"codeforces","1996:D","Fun","https://codeforces.com/problemset/problem/1996/D",1500,,"T3","[""binary search"",""brute force"",""combinatorics""]","Progressive math essentials for cp practice at day 29.",false,""
3,"math-essentials-for-cp",30,"atcoder","abc098:arc098_b","D. Xor Sum 2","https://atcoder.jp/contests/abc098/tasks/arc098_b",,1404,"T3","[""atcoder""]","Progressive math essentials for cp practice at day 30.",false,""
3,"math-essentials-for-cp",31,"codeforces","1195:D1","Submarine in the Rybinsk Sea (easy edition)","https://codeforces.com/problemset/problem/1195/D1",1500,,"T3","[""combinatorics"",""math"",""number theory""]","Progressive math essentials for cp practice at day 31.",true,""
4,"implementation-basics",1,"codeforces","2065:A","Skibidus and Amog'u","https://codeforces.com/problemset/problem/2065/A",800,,"T1","[""brute force"",""constructive algorithms"",""greedy""]","Progressive implementation basics practice at day 1.",false,""
4,"implementation-basics",2,"codeforces","2182:A","New Year String","https://codeforces.com/problemset/problem/2182/A",800,,"T1","[""constructive algorithms"",""greedy"",""implementation""]","Progressive implementation basics practice at day 2.",false,""
4,"implementation-basics",3,"codeforces","2132:A","Homework","https://codeforces.com/problemset/problem/2132/A",800,,"T1","[""brute force"",""implementation"",""strings""]","Progressive implementation basics practice at day 3.",false,""
4,"implementation-basics",4,"codeforces","1496:A","Split it!","https://codeforces.com/problemset/problem/1496/A",900,,"T1","[""brute force"",""constructive algorithms"",""greedy""]","Progressive implementation basics practice at day 4.",false,""
4,"implementation-basics",5,"atcoder","abc429:abc429_d","D. On AtCoder Conference","https://atcoder.jp/contests/abc429/tasks/abc429_d",,903,"T1","[""atcoder""]","Progressive implementation basics practice at day 5.",false,""
4,"implementation-basics",6,"codeforces","1005:B","Delete from the Left","https://codeforces.com/problemset/problem/1005/B",900,,"T1","[""brute force"",""implementation"",""strings""]","Progressive implementation basics practice at day 6.",false,""
4,"implementation-basics",7,"codeforces","1304:B","Longest Palindrome","https://codeforces.com/problemset/problem/1304/B",1100,,"T2","[""brute force"",""constructive algorithms"",""greedy""]","Progressive implementation basics practice at day 7.",false,""
4,"implementation-basics",8,"codeforces","2092:B","Lady Bug","https://codeforces.com/problemset/problem/2092/B",1000,,"T1","[""brute force"",""constructive algorithms"",""implementation""]","Progressive implementation basics practice at day 8.",false,""
4,"implementation-basics",9,"atcoder","abc218:abc218_e","E. Destruction","https://atcoder.jp/contests/abc218/tasks/abc218_e",,1004,"T2","[""atcoder""]","Progressive implementation basics practice at day 9.",false,""
4,"implementation-basics",10,"codeforces","2039:B","Shohag Loves Strings","https://codeforces.com/problemset/problem/2039/B",1000,,"T1","[""constructive algorithms"",""greedy"",""implementation""]","Progressive implementation basics practice at day 10.",false,""
4,"implementation-basics",11,"codeforces","1999:B","Card Game","https://codeforces.com/problemset/problem/1999/B",1000,,"T1","[""brute force"",""constructive algorithms"",""implementation""]","Progressive implementation basics practice at day 11.",false,""
4,"implementation-basics",12,"codeforces","1670:B","Dorms War","https://codeforces.com/problemset/problem/1670/B",1100,,"T2","[""brute force"",""implementation"",""strings""]","Progressive implementation basics practice at day 12.",false,""
4,"implementation-basics",13,"codeforces","1105:B","Zuhair and Strings","https://codeforces.com/problemset/problem/1105/B",1100,,"T2","[""brute force"",""implementation"",""strings""]","Progressive implementation basics practice at day 13.",false,""
4,"implementation-basics",14,"atcoder","abc177:abc177_e","E. Coprime","https://atcoder.jp/contests/abc177/tasks/abc177_e",,1057,"T2","[""atcoder""]","Progressive implementation basics practice at day 14.",false,""
4,"implementation-basics",15,"codeforces","548:A","Mike and Fax","https://codeforces.com/problemset/problem/548/A",1100,,"T2","[""brute force"",""implementation"",""strings""]","Progressive implementation basics practice at day 15.",false,""
4,"implementation-basics",16,"codeforces","505:A","Mr. Kitayuta's Gift","https://codeforces.com/problemset/problem/505/A",1100,,"T2","[""brute force"",""implementation"",""strings""]","Progressive implementation basics practice at day 16.",false,""
4,"implementation-basics",17,"codeforces","467:B","Fedor and New Game","https://codeforces.com/problemset/problem/467/B",1100,,"T2","[""bitmasks"",""brute force"",""constructive algorithms""]","Progressive implementation basics practice at day 17.",false,""
4,"implementation-basics",18,"atcoder","abc239:abc239_e","E. Subtree K-th Max","https://atcoder.jp/contests/abc239/tasks/abc239_e",,1084,"T2","[""atcoder""]","Progressive implementation basics practice at day 18.",false,""
4,"implementation-basics",19,"codeforces","300:A","Array","https://codeforces.com/problemset/problem/300/A",1100,,"T2","[""brute force"",""constructive algorithms"",""implementation""]","Progressive implementation basics practice at day 19.",false,""
4,"implementation-basics",20,"codeforces","218:A","Mountain Scenery","https://codeforces.com/problemset/problem/218/A",1100,,"T2","[""brute force"",""constructive algorithms"",""implementation""]","Progressive implementation basics practice at day 20.",false,""
4,"implementation-basics",21,"codeforces","1562:B","Scenes From a Memory","https://codeforces.com/problemset/problem/1562/B",1000,,"T1","[""brute force"",""constructive algorithms"",""implementation""]","Progressive implementation basics practice at day 21.",false,""
4,"implementation-basics",22,"atcoder","abc445:abc445_d","D. Reconstruct Chocolate","https://atcoder.jp/contests/abc445/tasks/abc445_d",,1102,"T2","[""atcoder""]","Progressive implementation basics practice at day 22.",false,""
4,"implementation-basics",23,"codeforces","1647:B","Madoka and the Elegant Gift","https://codeforces.com/problemset/problem/1647/B",1200,,"T2","[""brute force"",""constructive algorithms"",""graphs""]","Progressive implementation basics practice at day 23.",false,""
4,"implementation-basics",24,"codeforces","1536:B","Prinzessin der Verurteilung","https://codeforces.com/problemset/problem/1536/B",1200,,"T2","[""brute force"",""constructive algorithms"",""strings""]","Progressive implementation basics practice at day 24.",false,""
4,"implementation-basics",25,"codeforces","1512:C","A-B Palindrome","https://codeforces.com/problemset/problem/1512/C",1200,,"T2","[""constructive algorithms"",""implementation"",""strings""]","Progressive implementation basics practice at day 25.",false,""
4,"implementation-basics",26,"atcoder","abc264:abc264_e","E. Blackout 2","https://atcoder.jp/contests/abc264/tasks/abc264_e",,1229,"T2","[""atcoder""]","Progressive implementation basics practice at day 26.",false,""
4,"implementation-basics",27,"codeforces","1316:B","String Modification","https://codeforces.com/problemset/problem/1316/B",1400,,"T3","[""brute force"",""constructive algorithms"",""implementation""]","Progressive implementation basics practice at day 27.",true,""
4,"implementation-basics",28,"codeforces","2049:B","pspspsps","https://codeforces.com/problemset/problem/2049/B",1300,,"T2","[""brute force"",""constructive algorithms"",""graph matchings""]","Progressive implementation basics practice at day 28.",false,""
4,"implementation-basics",29,"codeforces","1800:E1","Unforgivable Curse (easy version)","https://codeforces.com/problemset/problem/1800/E1",1400,,"T3","[""brute force"",""constructive algorithms"",""dsu""]","Progressive implementation basics practice at day 29.",false,""
4,"implementation-basics",30,"atcoder","abc394:abc394_e","E. Palindromic Shortest Path","https://atcoder.jp/contests/abc394/tasks/abc394_e",,1403,"T3","[""atcoder""]","Progressive implementation basics practice at day 30.",false,""
4,"implementation-basics",31,"codeforces","1781:C","Equal Frequencies","https://codeforces.com/problemset/problem/1781/C",1600,,"T3","[""brute force"",""constructive algorithms"",""greedy""]","Progressive implementation basics practice at day 31.",true,""
5,"greedy-decisions",1,"codeforces","1850:D","Balanced Round","https://codeforces.com/problemset/problem/1850/D",900,,"T1","[""brute force"",""greedy"",""implementation""]","Progressive greedy decisions practice at day 1.",false,""
5,"greedy-decisions",2,"codeforces","1480:B","The Great Hero","https://codeforces.com/problemset/problem/1480/B",900,,"T1","[""greedy"",""implementation"",""sortings""]","Progressive greedy decisions practice at day 2.",false,""
5,"greedy-decisions",3,"codeforces","1613:B","Absent Remainder","https://codeforces.com/problemset/problem/1613/B",1000,,"T1","[""greedy"",""implementation"",""sortings""]","Progressive greedy decisions practice at day 3.",false,""
5,"greedy-decisions",4,"codeforces","1300:B","Assigning to Classes","https://codeforces.com/problemset/problem/1300/B",1000,,"T1","[""greedy"",""implementation"",""sortings""]","Progressive greedy decisions practice at day 4.",false,""
5,"greedy-decisions",5,"atcoder","abc278:abc278_e","E. Grid Filling","https://atcoder.jp/contests/abc278/tasks/abc278_e",,996,"T1","[""atcoder""]","Progressive greedy decisions practice at day 5.",false,""
5,"greedy-decisions",6,"codeforces","507:A","Amr and Music","https://codeforces.com/problemset/problem/507/A",1000,,"T1","[""greedy"",""implementation"",""sortings""]","Progressive greedy decisions practice at day 6.",false,""
5,"greedy-decisions",7,"codeforces","1971:D","Binary Cut","https://codeforces.com/problemset/problem/1971/D",1100,,"T2","[""dp"",""greedy"",""implementation""]","Progressive greedy decisions practice at day 7.",false,""
